frame.time_relative,ip.src,ip.dst,frame.len,ip.proto
"2.932660162","172.217.29.138","10.0.2.15","50522","6"
"2.932676817","10.0.2.15","172.217.29.138","54","6"
"2.932729237","172.217.29.138","10.0.2.15","13014","6"
"2.932735527","10.0.2.15","172.217.29.138","54","6"
"2.933040373","172.217.29.138","10.0.2.15","18774","6"
"2.933115592","10.0.2.15","172.217.29.138","54","6"
"2.933317793","172.217.29.138","10.0.2.15","2262","6"
"2.933317872","172.217.29.138","10.0.2.15","7254","6"
"2.933326652","10.0.2.15","172.217.29.138","54","6"
"2.934597733","10.0.2.15","172.217.29.138","54","6"
"2.934617579","172.217.29.138","10.0.2.15","57654","6"
"2.934940543","10.0.2.15","172.217.29.138","54","6"
"2.934981995","172.217.29.138","10.0.2.15","7254","6"
"2.934987726","10.0.2.15","172.217.29.138","54","6"
"2.935253191","172.217.29.138","10.0.2.15","5814","6"
"2.935259424","10.0.2.15","172.217.29.138","54","6"
"2.936549243","172.217.29.138","10.0.2.15","31734","6"
"2.936592751","172.217.29.138","10.0.2.15","33174","6"
"2.936910033","10.0.2.15","172.217.29.138","54","6"
"2.937209917","172.217.29.138","10.0.2.15","10134","6"
"2.937216958","10.0.2.15","172.217.29.138","54","6"
"2.938545865","172.217.29.138","10.0.2.15","56214","6"
"2.938557894","10.0.2.15","172.217.29.138","54","6"
"2.938736019","172.217.29.138","10.0.2.15","8694","6"
"2.938743951","10.0.2.15","172.217.29.138","54","6"
"2.938783972","172.217.29.138","10.0.2.15","5814","6"
"2.938895586","10.0.2.15","172.217.29.138","54","6"
"2.939333197","172.217.29.138","10.0.2.15","18774","6"
"2.939340058","10.0.2.15","172.217.29.138","54","6"
"2.939963088","172.217.29.138","10.0.2.15","41814","6"
"2.939986461","172.217.29.138","10.0.2.15","2934","6"
"2.940328686","172.217.29.138","10.0.2.15","20214","6"
"2.940596637","10.0.2.15","172.217.29.138","54","6"
"2.940840474","172.217.29.138","10.0.2.15","1494","6"
"2.941569076","172.217.29.138","10.0.2.15","28854","6"
"2.941928744","10.0.2.15","172.217.29.138","54","6"
"2.941970958","172.217.29.138","10.0.2.15","17334","6"
"2.941987592","10.0.2.15","172.217.29.138","54","6"
"2.942031321","172.217.29.138","10.0.2.15","17334","6"
"2.942099585","10.0.2.15","172.217.29.138","54","6"
"2.942491335","172.217.29.138","10.0.2.15","14662","6"
"2.942498852","10.0.2.15","172.217.29.138","54","6"
"2.942811584","34.107.243.93","10.0.2.15","246","6"
"2.942818747","10.0.2.15","34.107.243.93","54","6"
"2.960232194","172.217.29.138","10.0.2.15","5702","6"
"2.960258699","10.0.2.15","172.217.29.138","54","6"
"2.960505699","172.217.29.138","10.0.2.15","5814","6"
"2.960517488","10.0.2.15","172.217.29.138","54","6"
"2.960853078","172.217.29.138","10.0.2.15","4374","6"
"2.960895320","10.0.2.15","172.217.29.138","54","6"
"2.961319383","172.217.29.138","10.0.2.15","763","6"
"2.961319449","172.217.29.138","10.0.2.15","7114","6"
"2.961319473","172.217.29.138","10.0.2.15","9400","6"
"2.961331963","10.0.2.15","172.217.29.138","54","6"
"2.961377071","10.0.2.15","172.217.29.138","54","6"
"2.961414301","172.217.29.138","10.0.2.15","8526","6"
"2.961414362","172.217.29.138","10.0.2.15","8028","6"
"2.961421356","10.0.2.15","172.217.29.138","54","6"
"2.961424437","10.0.2.15","172.217.29.138","54","6"
"2.963841036","172.217.29.138","10.0.2.15","15586","6"
"2.963862209","10.0.2.15","172.217.29.138","54","6"
"2.964105153","172.217.29.138","10.0.2.15","9400","6"
"2.964105272","172.217.29.138","10.0.2.15","20736","6"
"2.964115478","10.0.2.15","172.217.29.138","54","6"
"2.964155520","10.0.2.15","172.217.29.138","54","6"
"2.964176874","172.217.29.138","10.0.2.15","8694","6"
"2.964180692","10.0.2.15","172.217.29.138","54","6"
"2.964369485","172.217.29.138","10.0.2.15","21654","6"
"2.964378582","10.0.2.15","172.217.29.138","54","6"
"2.965669089","172.217.29.138","10.0.2.15","5490","6"
"2.965669172","172.217.29.138","10.0.2.15","59094","6"
"2.965684027","10.0.2.15","172.217.29.138","54","6"
"2.966135284","10.0.2.15","172.217.29.138","54","6"
"2.966128007","172.217.29.138","10.0.2.15","5814","6"
"2.968058225","10.0.2.15","172.217.29.138","54","6"
"2.968125230","172.217.29.138","10.0.2.15","38934","6"
"2.968300446","10.0.2.15","172.217.29.138","54","6"
"2.968540099","172.217.29.138","10.0.2.15","34614","6"
"2.969163724","10.0.2.15","172.217.29.138","54","6"
"2.970074174","172.217.29.138","10.0.2.15","51894","6"
"2.970095626","10.0.2.15","172.217.29.138","54","6"
"2.971203164","172.217.29.138","10.0.2.15","13014","6"
"2.971215356","10.0.2.15","172.217.29.138","54","6"
"2.971481637","172.217.29.138","10.0.2.15","51894","6"
"2.971494555","10.0.2.15","172.217.29.138","54","6"
"2.972697355","172.217.29.138","10.0.2.15","14454","6"
"2.972706684","10.0.2.15","172.217.29.138","54","6"
"2.972767250","172.217.29.138","10.0.2.15","50454","6"
"2.973111107","10.0.2.15","172.217.29.138","54","6"
"2.973149970","172.217.29.138","10.0.2.15","14454","6"
"2.974282386","10.0.2.15","172.217.29.138","54","6"
"2.974774856","172.217.29.138","10.0.2.15","51894","6"
"2.974805387","10.0.2.15","172.217.29.138","54","6"
"2.975031287","172.217.29.138","10.0.2.15","13014","6"
"2.975038450","10.0.2.15","172.217.29.138","54","6"
"2.976025271","172.217.29.138","10.0.2.15","64854","6"
"2.976080293","10.0.2.15","172.217.29.138","54","6"
"2.976271732","172.217.29.138","10.0.2.15","1494","6"
"2.976271795","172.217.29.138","10.0.2.15","1494","6"
"2.976279837","10.0.2.15","172.217.29.138","54","6"
"2.978401402","172.217.29.138","10.0.2.15","64854","6"
"2.978417694","10.0.2.15","172.217.29.138","54","6"
"2.978769559","172.217.29.138","10.0.2.15","15894","6"
"2.979875755","10.0.2.15","172.217.29.138","54","6"
"2.980433804","172.217.29.138","10.0.2.15","47574","6"
"2.980457703","10.0.2.15","172.217.29.138","54","6"
"2.980710650","172.217.29.138","10.0.2.15","17334","6"
"2.980735374","10.0.2.15","172.217.29.138","54","6"
"2.980734054","172.217.29.138","10.0.2.15","11574","6"
"2.981869905","10.0.2.15","172.217.29.138","54","6"
"2.982399203","172.217.29.138","10.0.2.15","38934","6"
"2.982417169","10.0.2.15","172.217.29.138","54","6"
"2.982622874","172.217.29.138","10.0.2.15","25974","6"
"2.983099614","10.0.2.15","172.217.29.138","54","6"
"2.983144663","172.217.29.138","10.0.2.15","38934","6"
"2.983871900","172.217.29.138","10.0.2.15","15894","6"
"2.983913108","172.217.29.138","10.0.2.15","10134","6"
"2.992889287","10.0.2.15","172.217.29.138","54","6"
"2.993366950","172.217.29.138","10.0.2.15","23094","6"
"2.994447924","10.0.2.15","172.217.29.138","54","6"
"2.994641405","172.217.29.138","10.0.2.15","43254","6"
"2.994695864","172.217.29.138","10.0.2.15","2934","6"
"2.994702472","172.217.29.138","10.0.2.15","1494","6"
"2.995038399","172.217.29.138","10.0.2.15","17334","6"
"2.995252749","10.0.2.15","172.217.29.138","54","6"
"2.995810644","172.217.29.138","10.0.2.15","30588","6"
"2.995828731","10.0.2.15","172.217.29.138","54","6"
"3.010011339","172.217.29.138","10.0.2.15","5702","6"
"3.010011753","172.217.29.138","10.0.2.15","26344","6"
"3.010367474","10.0.2.15","172.217.29.138","54","6"
"3.010937355","10.0.2.15","172.217.29.138","54","6"
"3.011210429","172.217.29.138","10.0.2.15","20198","6"
"3.011220788","10.0.2.15","172.217.29.138","54","6"
"3.011387173","172.217.29.138","10.0.2.15","16500","6"
"3.011394797","10.0.2.15","172.217.29.138","54","6"
"3.011451433","172.217.29.138","10.0.2.15","20214","6"
"3.011459055","10.0.2.15","172.217.29.138","54","6"
"3.011723090","172.217.29.138","10.0.2.15","5814","6"
"3.011729198","10.0.2.15","172.217.29.138","54","6"
"3.012715043","172.217.29.138","10.0.2.15","36131","6"
"3.012783780","10.0.2.15","172.217.29.138","54","6"
"3.013120444","172.217.29.138","10.0.2.15","34614","6"
"3.013132487","10.0.2.15","172.217.29.138","54","6"
"3.013376857","172.217.29.138","10.0.2.15","11574","6"
"3.014055256","10.0.2.15","172.217.29.138","54","6"
"3.014049042","172.217.29.138","10.0.2.15","26200","6"
"3.014467091","10.0.2.15","172.217.29.138","54","6"
"3.014523575","172.217.29.138","10.0.2.15","23094","6"
"3.014531038","10.0.2.15","172.217.29.138","54","6"
"3.014752338","172.217.29.138","10.0.2.15","7254","6"
"3.014890555","10.0.2.15","172.217.29.138","54","6"
"3.015395937","172.217.29.138","10.0.2.15","33174","6"
"3.015944966","10.0.2.15","172.217.29.138","54","6"
"3.016009789","172.217.29.138","10.0.2.15","30294","6"
"3.016205393","172.217.29.138","10.0.2.15","13014","6"
"3.016390903","172.217.29.138","10.0.2.15","10134","6"
"3.016774770","172.217.29.138","10.0.2.15","11574","6"
"3.028972073","10.0.2.15","172.217.29.138","54","6"
"3.029553260","172.217.29.138","10.0.2.15","18774","6"
"3.030805936","172.217.29.138","10.0.2.15","14454","6"
"3.030837121","172.217.29.138","10.0.2.15","31734","6"
"3.031051833","10.0.2.15","172.217.29.138","54","6"
"3.031792259","172.217.29.138","10.0.2.15","37494","6"
"3.032057901","172.217.29.138","10.0.2.15","11574","6"
"3.032064906","172.217.29.138","10.0.2.15","1494","6"
"3.032357301","172.217.29.138","10.0.2.15","14454","6"
"3.033051818","10.0.2.15","172.217.29.138","54","6"
"3.033426947","172.217.29.138","10.0.2.15","1494","6"
"3.033427125","172.217.29.138","10.0.2.15","10134","6"
"3.033438811","10.0.2.15","172.217.29.138","54","6"
"3.034973750","172.217.29.138","10.0.2.15","64854","6"
"3.038389355","10.0.2.15","172.217.29.138","54","6"
"3.038999352","172.217.29.138","10.0.2.15","21654","6"
"3.040166569","10.0.2.15","172.217.29.138","54","6"
"3.040560330","172.217.29.138","10.0.2.15","33174","6"
"3.040605720","172.217.29.138","10.0.2.15","21654","6"
"3.040899415","172.217.29.138","10.0.2.15","10134","6"
"3.041681811","10.0.2.15","172.217.29.138","54","6"
"3.042663117","172.217.29.138","10.0.2.15","44694","6"
"3.042687464","172.217.29.138","10.0.2.15","15894","6"
"3.042690822","172.217.29.138","10.0.2.15","2934","6"
"3.042908132","172.217.29.138","10.0.2.15","1494","6"
"3.042961679","10.0.2.15","172.217.29.138","54","6"
"3.043413491","172.217.29.138","10.0.2.15","23094","6"
"3.043669100","172.217.29.138","10.0.2.15","8694","6"
